adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
אלישע 13,29.12.2013,190,21947,5.0,0,2012,29,12,2013,4169930.0
לאונר נעם 12,25.12.2013,342,11608,8.0,0,2013,25,12,2013,3969936.0
העצמאות 6,15.12.2013,240,12500,5.0,0,2013,15,12,2013,3000000.0
1 47,15.12.2013,303,11056,5.0,0,2013,15,12,2013,3349968.0
השניים 11,9.12.2013,58,16551,3.0,1,1990,9,12,2013,959958.0
Y7 נחלת יהודה - ראשון לציון,5.12.2013,117,15743,5.0,2,2013,5,12,2013,1841931.0
העצמאות 16,5.12.2013,280,11071,5.0,0,2011,5,12,2013,3099880.0
Y7 נחלת יהודה - ראשון לציון,27.11.2013,124,17973,5.0,8,2013,27,11,2013,2228652.0
עמיחי בנחלה,27.11.2013,113,19690,5.0,11,2013,27,11,2013,2224970.0
פרויקט Y ראשון לציון,26.11.2013,122,15163,5.0,5,2012,26,11,2013,1849886.0
פרויקט Y ראשון לציון,20.11.2013,149,21279,5.0,14,2013,20,11,2013,3170571.0
אשר אורנבך 5 ראשון לציון,19.11.2013,100,16800,4.0,4,2013,19,11,2013,1680000.0
בראשית - נחלת יהודה ראשון לציון,19.11.2013,131,16412,5.0,7,2012,19,11,2013,2149972.0
יוסף הנשיא 37,18.11.2013,192,17447,6.0,0,2011,18,11,2013,3349824.0
דר אליקום 18,15.11.2013,282,13120,6.0,0,2011,15,11,2013,3699840.0
עמיחי בנחלה,12.11.2013,100,16100,4.0,2,2013,12,11,2013,1610000.0
Y7 נחלת יהודה - ראשון לציון,10.11.2013,124,18220,5.0,8,2013,10,11,2013,2259280.0
פרויקט Y ראשון לציון,6.11.2013,160,17453,5.0,0,2014,6,11,2013,2792480.0
ג'ו עמר 5,6.11.2013,227,16211,7.0,0,2013,6,11,2013,3679897.0
חובב מאיר וצבי 6,5.11.2013,324,12901,5.0,0,2012,5,11,2013,4179924.0
בוטיק נחלת יהודה,31.10.2013,136,22794,5.0,9,2012,31,10,2013,3099984.0
Y7 נחלת יהודה - ראשון לציון,30.10.2013,117,15538,5.0,2,2013,30,10,2013,1817946.0
Y7 נחלת יהודה - ראשון לציון,28.10.2013,117,17527,5.0,7,2013,28,10,2013,2050659.0
פרשקובסקי בנחלת החדשה,25.10.2013,135,16148,5.0,6,2008,25,10,2013,2179980.0
Y7 נחלת יהודה - ראשון לציון,24.10.2013,117,15656,5.0,2,2013,24,10,2013,1831752.0
מלל ניסים 18,24.10.2013,261,12452,5.0,0,2013,24,10,2013,3249972.0
כהן אלי 11,22.10.2013,296,11402,5.0,0,2012,22,10,2013,3374992.0
פרויקט Y ראשון לציון,14.10.2013,151,18972,5.0,8,2013,14,10,2013,2864772.0
צרפתי יוניק ראשון לציון,10.10.2013,123,19186,5.0,9,2013,10,10,2013,2359878.0
Y7 נחלת יהודה - ראשון לציון,10.10.2013,117,16196,5.0,6,2013,10,10,2013,1894932.0
Y7 נחלת יהודה - ראשון לציון,10.10.2013,124,17506,5.0,7,2013,10,10,2013,2170744.0
Y7 נחלת יהודה - ראשון לציון,10.10.2013,117,16037,5.0,4,2013,10,10,2013,1876329.0
עמיחי בנחלה,9.10.2013,100,17500,4.0,12,2015,9,10,2013,1750000.0
הבנים 9,4.10.2013,200,18867,5.0,0,2013,4,10,2013,3773400.0
בוטיק נחלת יהודה,1.10.2013,122,15983,5.0,7,2012,1,10,2013,1949926.0
Y7 נחלת יהודה - ראשון לציון,1.10.2013,117,15341,5.0,2,2013,1,10,2013,1794897.0
דשבסקי ישראל 10,30.9.2013,186,16263,5.0,0,2008,30,9,2013,3024918.0
בוטיק נחלת יהודה,23.9.2013,96,18656,3.0,6,2011,23,9,2013,1790976.0
נחמוני 37,22.9.2013,240,12770,7.0,0,2011,22,9,2013,3064800.0
אשר אורנבך 5 ראשון לציון,17.9.2013,100,15700,4.0,3,2013,17,9,2013,1570000.0
Y7 נחלת יהודה - ראשון לציון,16.9.2013,124,17481,5.0,8,2015,16,9,2013,2167644.0
