adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
"הרשב""א 11",6.2.2014,81,17901,3.5,3,1990,6,2,2014,1449981.0
אלקבץ 9,5.2.2014,110,17090,5.0,4,1998,5,2,2014,1879900.0
"הרשב""א 12",5.2.2014,100,14250,4.0,5,1998,5,2,2014,1425000.0
שלונסקי 14,1.2.2014,99,23232,4.0,0,2001,1,2,2014,2299968.0
אונטרמן 2,30.1.2014,133,18421,5.0,7,2003,30,1,2014,2449993.0
"הרשב""א 13",27.1.2014,108,16944,5.0,2,1990,27,1,2014,1829952.0
הנגיד 18,27.1.2014,113,17256,5.0,10,1998,27,1,2014,1949928.0
נסיה 9,21.1.2014,41,28292,2.5,5,2002,21,1,2014,1159972.0
"הרשב""א 19",21.1.2014,82,18231,4.0,7,1997,21,1,2014,1494942.0
אלחריזי 13,17.1.2014,106,15094,4.0,2,2013,17,1,2014,1599964.0
תור הזהב 12,16.1.2014,82,17317,4.0,5,1984,16,1,2014,1419994.0
הרב אונטרמן 4 ראשון לציון,15.1.2014,113,14283,5.0,1,1990,15,1,2014,1613979.0
"ריב""ל 12",12.1.2014,121,16818,5.5,0,2008,12,1,2014,2034978.0
אלתרמן 14,7.1.2014,65,18230,3.0,1,1998,7,1,2014,1184950.0
בורלא 25,31.12.2013,260,11153,7.0,0,2001,31,12,2013,2899780.0
בן סרוק 8,30.12.2013,66,17878,3.0,2,1996,30,12,2013,1179948.0
"הרשב""א 11",30.12.2013,65,20461,3.0,3,1970,30,12,2013,1329965.0
גור 14,29.12.2013,97,17010,4.0,4,2009,29,12,2013,1649970.0
"הרשב""א 11",29.12.2013,65,20076,3.0,5,1998,29,12,2013,1304940.0
הרב אונטרמן 4 ראשון לציון,25.12.2013,144,19791,6.0,7,2012,25,12,2013,2849904.0
שלונסקי 16,23.12.2013,100,26000,4.0,3,2013,23,12,2013,2600000.0
קאפח 9,15.12.2013,90,16888,4.0,3,1990,15,12,2013,1519920.0
